,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
1130,25,1.0,25, , 
1131,10,1.0,10,26,26
1132,12,1.0,15,20,20
1133, ,, , , 
1134,12,1.0,18,50,51
1135,17,1.0,19, , 
1136,18,1.0,18, , 
1137, ,, , , 
1138,15,1.0,15, , 
1139,99,2.0,99, , 
1140,13,2.0, , , 
1141,9,2.0,21, , 
1142, ,, , , 
1143, ,, , , 
1144, ,, , , 
1145, ,, , , 
1146,17,2.0,17, , 
1147, ,, , , 
1148, ,, , , 
1149,14,2.0,14, , 
1150, ,, , , 
1151, ,, , , 
1152,12,1.0,16, , 
1153, ,, , , 
1154, ,, , , 
1155, ,, , , 
1156,16,1.0,16, , 
1157, ,, , , 
1158, ,, , , 
1159, ,, , , 
1160, ,, , , 
1161, ,, , , 
1162, ,, , , 
1163,14,2.0, , , 
1164,18,2.0,18, , 
1165, ,, , , 
1166,28,1.0,28, , 
1167, ,, , , 
1168, ,, , , 
1169, ,, , , 
1170,15,1.0,15,35,36
1171, ,, , , 
1172, ,, , , 
1173, ,, , , 
1174,17,2.0,17, , 
1175,13,1.0,14, , 
1176,32,1.0,47, , 
1177,18,2.0,28, , 
1178,16,1.0,16,40,41
1179, ,, , , 
1180,23,1.0,24,29,29
1181,18,2.0,19, , 
1182, ,, , , 
1183, ,, , , 
1184,23,2.0,32, , 
1185,14,1.0,14,31,32
1186,18,1.0,20,20,20
1187,15,1.0,18, , 
1188, ,, , , 
1189,13,1.0,15, , 
1190, ,, , , 
1191, ,, , , 
1192, ,, , , 
1193,13,1.0,16,25,26
1194, ,, , , 
1195, ,, , , 
1196, ,, , , 
1197, ,, , , 
1198,17,2.0,20,24,24
1199,20,1.0, , , 
1200,11,2.0,21,31,31
1201,20,2.0, , , 
1202,17,2.0, , , 
1203, ,, , , 
1204, ,, , , 
1205,18,2.0,19,33,33
1206, ,, , , 
1207, ,, , , 
1208, ,, , , 
1209,18,1.0,18, , 
1210, ,, , , 
1211,21,1.0, , , 
1212, ,, , , 
1213, ,, , , 
1214, ,, , , 
1215,11,1.0,14,26,26
1216, ,, , , 
1217, ,, , , 
1218,38,1.0,38,39,40
1219, ,, , , 
1220,18,2.0,52, , 
1221,16,2.0, , , 
1222, ,, , , 
1223, ,, , , 
1224,19,1.0,29, , 
1225,18,2.0, , , 
1226,15,2.0, , , 
1227, ,, , , 
1228,17,2.0,17, , 
1229,99,2.0, , , 
1230, ,, , , 
1231, ,, , , 
1232, ,, , , 
1233, ,, , , 
1234, ,, , , 
1235,14,1.0,14,27,28
1236, ,, , , 
1237, ,, , , 
1238,22,2.0,23,22,22
1239, ,, , , 
1240, ,, , , 
1241,10,2.0,10,20,20
1242, ,, , , 
1243,26,1.0,26,44,44
1244,16,2.0,17, , 
1245,17,2.0,17, , 
1246, ,, , , 
1247, ,, , , 
1248, ,, , , 
1249, ,, , , 
1250, ,, , , 
1251,22,2.0,22, , 
1252, ,, , , 
1253,15,2.0,15,27,32
1254,13,2.0,17, , 
1255, ,, , , 
1256, ,, , , 
1257, ,, , , 
1258, ,, , , 
1259,38,2.0,38, , 
1260,14,2.0,18, , 
1261, ,, , , 
1262, ,, , , 
1263, ,, , , 
